,price,propertyType,size,exterior,rooms,bathrooms,distance,status,floor,hasLift
0,750.0,flat,60.0,True,1,1,7037,good,3,True
1,750.0,flat,70.0,True,2,1,16145,good,bj,False
2,400.0,penthouse,67.0,True,2,2,55041,good,2,False
3,590.0,flat,70.0,True,3,2,56596,good,Desconocido,False
4,684.0,studio,45.0,True,0,1,10656,Desconocido,Desconocido,Desconocido
5,600.0,flat,73.0,True,2,1,37062,good,3,False
6,600.0,duplex,71.0,True,1,1,44126,good,1,False
7,550.0,flat,53.0,True,1,1,4008,good,1,False
8,700.0,studio,28.0,True,0,1,5569,good,1,False
9,700.0,duplex,86.0,True,2,1,31153,good,3,True
10,700.0,flat,45.0,False,1,1,2046,good,5,False
11,550.0,flat,54.0,True,2,1,26233,good,en,False
12,695.0,flat,64.0,True,2,1,15747,good,1,False
13,650.0,flat,68.0,True,2,1,42410,good,bj,False
14,700.0,flat,30.0,False,1,1,3247,good,1,True
15,700.0,flat,35.0,False,1,1,1894,good,1,False
16,700.0,flat,43.0,True,1,1,4442,good,2,True
17,650.0,flat,60.0,True,2,1,3985,good,1,False
18,650.0,chalet,206.0,False,3,1,43195,good,Desconocido,Desconocido
19,700.0,flat,105.0,True,3,2,44003,good,bj,False
20,695.0,flat,40.0,False,1,1,2271,good,4,True
21,675.0,flat,40.0,True,1,1,23556,good,bj,False
22,750.0,studio,45.0,False,0,1,1027,good,bj,True
23,750.0,flat,99.0,True,3,2,43492,good,1,True
24,680.0,flat,38.0,False,1,1,2591,good,1,True
25,750.0,flat,51.0,True,1,1,11896,good,1,True
26,750.0,penthouse,60.0,True,1,1,21316,good,2,False
27,750.0,studio,25.0,False,0,1,533,good,4,True
28,750.0,flat,40.0,False,1,1,1989,good,1,False
29,650.0,flat,62.0,True,2,1,7841,good,1,False
30,750.0,studio,30.0,True,0,1,935,good,3,False
31,750.0,flat,39.0,False,1,1,2036,good,5,False
32,700.0,flat,62.0,True,2,1,8492,good,3,False
33,747.0,flat,96.0,True,3,2,26611,good,1,True
34,640.0,studio,35.0,True,0,1,7324,good,1,True
35,750.0,flat,30.0,False,1,1,2133,good,st,True
36,750.0,flat,70.0,True,2,1,28703,good,2,True
37,625.0,flat,52.0,True,2,1,40445,good,2,False
38,700.0,studio,40.0,True,0,1,1431,good,3,True
39,750.0,studio,40.0,True,0,1,2417,good,en,True
40,650.0,flat,35.0,False,1,1,1121,good,2,True
41,720.0,flat,70.0,True,3,1,29099,good,2,False
42,699.0,flat,52.0,True,1,1,7092,good,3,True
43,750.0,flat,65.0,True,2,1,13081,good,Desconocido,True
44,695.0,flat,65.0,True,2,1,13904,good,Desconocido,True
45,750.0,flat,78.0,True,2,2,19719,good,Desconocido,True
46,620.0,flat,60.0,True,2,1,7981,good,Desconocido,False
47,500.0,studio,28.0,False,0,1,769,good,1,False
48,550.0,flat,38.0,True,1,1,10938,good,Desconocido,False
49,750.0,flat,46.0,False,1,1,1476,good,3,True
50,680.0,studio,55.0,True,0,1,5097,good,bj,False
51,700.0,flat,50.0,True,1,2,32052,Desconocido,Desconocido,Desconocido
52,750.0,duplex,35.0,True,1,1,4047,Desconocido,Desconocido,Desconocido
53,750.0,flat,66.0,True,2,1,13311,good,1,True
54,650.0,flat,65.0,True,1,1,29440,good,en,True
